Provider,Export,Id
powershell,modules.system,ThreadJob
powershell,modules.system,TLS
powershell,modules.system,TroubleshootingPack
powershell,modules.system,TrustedPlatformModule
powershell,modules.system,UEV
powershell,modules.system,VMDirectStorage
powershell,modules.system,VpnClient
powershell,modules.system,Wdac
powershell,modules.system,Whea
powershell,modules.system,WindowsDeveloperLicense
powershell,modules.system,WindowsErrorReporting
powershell,modules.system,WindowsSearch
powershell,modules.system,WindowsUpdate
powershell,modules.system,WinHttpProxy
powershell,modules.user,BuildHelpers
powershell,modules.user,HackF5.ProfileAlias
powershell,modules.user,Lance
powershell,modules.user,Microsoft.PowerToys.Configure
powershell,modules.user,Pester
powershell,modules.user,posh-git
powershell,modules.user,powershell-yaml
powershell,modules.user,Profiler
powershell,modules.user,PSDepend
powershell,modules.user,PSScriptAnalyzer
powershell,modules.user,PSToml
rust,components,cargo-x86_64-pc-windows-msvc
rust,components,clippy-x86_64-pc-windows-msvc
rust,components,rust-docs-x86_64-pc-windows-msvc
rust,components,rust-std-x86_64-pc-windows-msvc
rust,components,rustc-x86_64-pc-windows-msvc
rust,components,rustfmt-x86_64-pc-windows-msvc
rust,toolchains,stable-x86_64-pc-windows-msvc
winget,packages,7zip.7zip@winget
winget,packages,AntibodySoftware.WizTree@winget
winget,packages,Bitwarden.CLI@winget
winget,packages,BurntSushi.ripgrep.MSVC@winget
winget,packages,Canonical.Ubuntu@winget
winget,packages,dandavison.delta@winget
winget,packages,dotPDN.PaintDotNet@winget
winget,packages,gerardog.gsudo@winget
winget,packages,Git.Git@winget
winget,packages,GitHub.cli@winget
winget,packages,GnuPG.GnuPG@winget
winget,packages,GnuPG.Gpg4win@winget
winget,packages,GnuWin32.Make@winget
winget,packages,GoLang.Go@winget
winget,packages,Google.Chrome@winget
winget,packages,Graphviz.Graphviz@winget
winget,packages,HandBrake.HandBrake@winget
winget,packages,JanDeDobbeleer.OhMyPosh@winget
winget,packages,JGraph.Draw@winget
winget,packages,JohnMacFarlane.Pandoc@winget
winget,packages,jqlang.jq@winget
winget,packages,JRSoftware.InnoSetup@winget
winget,packages,KDE.KDiff3@winget
winget,packages,KirillOsenkov.MSBuildStructuredLogViewer@winget
winget,packages,kvakulo.switcheroo@winget
winget,packages,kymoto.InnoScriptStudio@winget
winget,packages,Logitech.OptionsPlus@winget
winget,packages,lsd-rs.lsd@winget
winget,packages,Malwarebytes.Malwarebytes@winget
winget,packages,Meld.Meld@winget
winget,packages,Microsoft.AppInstaller@winget
winget,packages,Microsoft.AzureCLI@winget
winget,packages,Microsoft.AzureDataStudio@winget
winget,packages,Microsoft.CLRTypesSQLServer.2019@winget
winget,packages,Microsoft.DotNet.DesktopRuntime.8@winget
winget,packages,Microsoft.DotNet.Runtime.7@winget
winget,packages,Microsoft.DotNet.SDK.9@winget
winget,packages,Microsoft.DotNet.UninstallTool@winget
winget,packages,Microsoft.Edge@winget
winget,packages,Microsoft.msodbcsql.17@winget
winget,packages,Microsoft.NuGet@winget
winget,packages,Microsoft.OneDrive@winget
winget,packages,Microsoft.PowerShell@winget
winget,packages,Microsoft.PowerToys@winget
winget,packages,Microsoft.Sqlcmd@winget
winget,packages,Microsoft.Teams@winget
winget,packages,Microsoft.UI.Xaml.2.7@winget
winget,packages,Microsoft.UI.Xaml.2.8@winget
winget,packages,Microsoft.VCLibs.Desktop.14@winget
winget,packages,Microsoft.VCRedist.2015+.x64@winget
winget,packages,Microsoft.VCRedist.2015+.x86@winget
winget,packages,Microsoft.VisualStudio.2022.Community@winget
winget,packages,Microsoft.VisualStudioCode@winget
winget,packages,Microsoft.WebDeploy@winget
winget,packages,Microsoft.WindowsTerminal.Preview@winget
winget,packages,Microsoft.WindowsTerminal@winget
winget,packages,Microsoft.WSL@winget
winget,packages,MiKTeX.MiKTeX@winget
winget,packages,Mozilla.Firefox@winget
winget,packages,NickeManarin.ScreenToGif@winget
winget,packages,Nushell.Nushell@winget
winget,packages,Obsidian.Obsidian@winget
winget,packages,OliverBetz.ExifTool@winget
winget,packages,OpenJS.NodeJS.LTS@winget
winget,packages,PawelSalawa.SQLiteStudio@winget
winget,packages,PDFsam.PDFsam@winget
winget,packages,pnpm.pnpm@winget
winget,packages,PostgreSQL.PostgreSQL.16@winget
winget,packages,PrivateInternetAccess.PrivateInternetAccess@winget
winget,packages,PuTTY.PuTTY@winget
winget,packages,Python.Launcher@winget
winget,packages,Python.Python.3.12@winget
winget,packages,qBittorrent.qBittorrent@winget
winget,packages,RedHat.Podman-Desktop@winget
winget,packages,RedHat.Podman@winget
winget,packages,rhysd.actionlint@winget
winget,packages,RustemMussabekov.Raindrop@winget
winget,packages,Rustlang.Rustup@winget
winget,packages,sharkdp.bat@winget
winget,packages,sharkdp.fd@winget
winget,packages,SQLite.SQLite@winget
winget,packages,SumatraPDF.SumatraPDF@winget
winget,packages,VideoLAN.VLC@winget
winget,packages,vim.vim@winget
winget,packages,Wilfred.difftastic@winget
winget,packages,WinMerge.WinMerge@winget
winget,sources,Microsoft.Winget.Source_8wekyb3d8bbwe
winget,sources,StoreEdgeFD
